keras_name,index,original_name,function
ToRGB,0,ToRGB_lod0/weight,ToRGB
ToRGB,1,ToRGB_lod0/bias,Normal
4x4/Const/const,1,4x4/Const/const,constant_reshape
4x4/Const/Noise/weight,0,4x4/Const/Noise/weight,axis_add
4x4/Const/bias,0,4x4/Const/bias,Normal
4x4/Const/StyleMod,0,4x4/Const/StyleMod/weight,StyleMod
4x4/Const/StyleMod,1,4x4/Const/StyleMod/bias,Normal
4x4/Conv,0,4x4/Conv/weight,conv
4x4/Conv/Noise/weight,0,4x4/Conv/Noise/weight,axis_add
4x4/Conv/bias,0,4x4/Conv/bias,Normal
4x4/Conv/StyleMod,0,4x4/Conv/StyleMod/weight,StyleMod
4x4/Conv/StyleMod,1,4x4/Conv/StyleMod/bias,Normal
8x8/Conv0_up/weight,0,8x8/Conv0_up/weight,conv
8x8/Conv0_up/Noise/weight,0,8x8/Conv0_up/Noise/weight,axis_add
8x8/Conv0_up/bias,0,8x8/Conv0_up/bias,Normal
8x8/Conv0_up/StyleMod,0,8x8/Conv0_up/StyleMod/weight,StyleMod
8x8/Conv0_up/StyleMod,1,8x8/Conv0_up/StyleMod/bias,Normal
8x8/Conv1,0,8x8/Conv1/weight,conv
8x8/Conv1/Noise/weight,0,8x8/Conv1/Noise/weight,axis_add
8x8/Conv1/bias,0,8x8/Conv1/bias,Normal
8x8/Conv1/StyleMod,0,8x8/Conv1/StyleMod/weight,StyleMod
8x8/Conv1/StyleMod,1,8x8/Conv1/StyleMod/bias,Normal
16x16/Conv0_up/weight,0,16x16/Conv0_up/weight,conv
16x16/Conv0_up/Noise/weight,0,16x16/Conv0_up/Noise/weight,axis_add
16x16/Conv0_up/bias,0,16x16/Conv0_up/bias,Normal
16x16/Conv0_up/StyleMod,0,16x16/Conv0_up/StyleMod/weight,StyleMod
16x16/Conv0_up/StyleMod,1,16x16/Conv0_up/StyleMod/bias,Normal
16x16/Conv1,0,16x16/Conv1/weight,conv
16x16/Conv1/Noise/weight,0,16x16/Conv1/Noise/weight,axis_add
16x16/Conv1/bias,0,16x16/Conv1/bias,Normal
16x16/Conv1/StyleMod,0,16x16/Conv1/StyleMod/weight,StyleMod
16x16/Conv1/StyleMod,1,16x16/Conv1/StyleMod/bias,Normal
32x32/Conv0_up/weight,0,32x32/Conv0_up/weight,conv
32x32/Conv0_up/Noise/weight,0,32x32/Conv0_up/Noise/weight,axis_add
32x32/Conv0_up/bias,0,32x32/Conv0_up/bias,Normal
32x32/Conv0_up/StyleMod,0,32x32/Conv0_up/StyleMod/weight,StyleMod
32x32/Conv0_up/StyleMod,1,32x32/Conv0_up/StyleMod/bias,Normal
32x32/Conv1,0,32x32/Conv1/weight,conv
32x32/Conv1/Noise/weight,0,32x32/Conv1/Noise/weight,axis_add
32x32/Conv1/bias,0,32x32/Conv1/bias,Normal
32x32/Conv1/StyleMod,0,32x32/Conv1/StyleMod/weight,StyleMod
32x32/Conv1/StyleMod,1,32x32/Conv1/StyleMod/bias,Normal
64x64/Conv0_up/weight,0,64x64/Conv0_up/weight,conv
64x64/Conv0_up/Noise/weight,0,64x64/Conv0_up/Noise/weight,axis_add
64x64/Conv0_up/bias,0,64x64/Conv0_up/bias,Normal
64x64/Conv0_up/StyleMod,0,64x64/Conv0_up/StyleMod/weight,StyleMod
64x64/Conv0_up/StyleMod,1,64x64/Conv0_up/StyleMod/bias,Normal
64x64/Conv1,0,64x64/Conv1/weight,conv
64x64/Conv1/Noise/weight,0,64x64/Conv1/Noise/weight,axis_add
64x64/Conv1/bias,0,64x64/Conv1/bias,Normal
64x64/Conv1/StyleMod,0,64x64/Conv1/StyleMod/weight,StyleMod
64x64/Conv1/StyleMod,1,64x64/Conv1/StyleMod/bias,Normal
128x128/Conv0_up/weight,0,128x128/Conv0_up/weight,Upscale_conv
128x128/Conv0_up/Noise/weight,0,128x128/Conv0_up/Noise/weight,axis_add
128x128/Conv0_up/bias,0,128x128/Conv0_up/bias,Normal
128x128/Conv0_up/StyleMod,0,128x128/Conv0_up/StyleMod/weight,StyleMod
128x128/Conv0_up/StyleMod,1,128x128/Conv0_up/StyleMod/bias,Normal
128x128/Conv1,0,128x128/Conv1/weight,conv
128x128/Conv1/Noise/weight,0,128x128/Conv1/Noise/weight,axis_add
128x128/Conv1/bias,0,128x128/Conv1/bias,Normal
128x128/Conv1/StyleMod,0,128x128/Conv1/StyleMod/weight,StyleMod
128x128/Conv1/StyleMod,1,128x128/Conv1/StyleMod/bias,Normal
256x256/Conv0_up/weight,0,256x256/Conv0_up/weight,Upscale_conv
256x256/Conv0_up/Noise/weight,0,256x256/Conv0_up/Noise/weight,axis_add
256x256/Conv0_up/bias,0,256x256/Conv0_up/bias,Normal
256x256/Conv0_up/StyleMod,0,256x256/Conv0_up/StyleMod/weight,StyleMod
256x256/Conv0_up/StyleMod,1,256x256/Conv0_up/StyleMod/bias,Normal
256x256/Conv1,0,256x256/Conv1/weight,conv
256x256/Conv1/Noise/weight,0,256x256/Conv1/Noise/weight,axis_add
256x256/Conv1/bias,0,256x256/Conv1/bias,Normal
256x256/Conv1/StyleMod,0,256x256/Conv1/StyleMod/weight,StyleMod
256x256/Conv1/StyleMod,1,256x256/Conv1/StyleMod/bias,Normal
512x512/Conv0_up/weight,0,512x512/Conv0_up/weight,Upscale_conv
512x512/Conv0_up/Noise/weight,0,512x512/Conv0_up/Noise/weight,axis_add
512x512/Conv0_up/bias,0,512x512/Conv0_up/bias,Normal
